,Date,VOO,MRO,HD,PTC,PKG,WHR,YUM,GIS,PPG,SYY,BIIB,DIS,JNJ,NVDA,GOOGL,AMZN,AAPL,MSFT,VOO_10day_MA,VOO_50day_MA,VOO_200day_MA,MRO_10day_MA,MRO_50day_MA,MRO_200day_MA,HD_10day_MA,HD_50day_MA,HD_200day_MA,PTC_10day_MA,PTC_50day_MA,PTC_200day_MA,PKG_10day_MA,PKG_50day_MA,PKG_200day_MA,WHR_10day_MA,WHR_50day_MA,WHR_200day_MA,YUM_10day_MA,YUM_50day_MA,YUM_200day_MA,GIS_10day_MA,GIS_50day_MA,GIS_200day_MA,PPG_10day_MA,PPG_50day_MA,PPG_200day_MA,SYY_10day_MA,SYY_50day_MA,SYY_200day_MA,BIIB_10day_MA,BIIB_50day_MA,BIIB_200day_MA,DIS_10day_MA,DIS_50day_MA,DIS_200day_MA,JNJ_10day_MA,JNJ_50day_MA,JNJ_200day_MA,NVDA_10day_MA,NVDA_50day_MA,NVDA_200day_MA,GOOGL_10day_MA,GOOGL_50day_MA,GOOGL_200day_MA,AMZN_10day_MA,AMZN_50day_MA,AMZN_200day_MA,AAPL_10day_MA,AAPL_50day_MA,AAPL_200day_MA,MSFT_10day_MA,MSFT_50day_MA,MSFT_200day_MA,VOO_5day_mvg_return,VOO_20day_mvg_return,VOO_260day_mvg_return,MRO_5day_mvg_return,MRO_20day_mvg_return,MRO_260day_mvg_return,HD_5day_mvg_return,HD_20day_mvg_return,HD_260day_mvg_return,PTC_5day_mvg_return,PTC_20day_mvg_return,PTC_260day_mvg_return,PKG_5day_mvg_return,PKG_20day_mvg_return,PKG_260day_mvg_return,WHR_5day_mvg_return,WHR_20day_mvg_return,WHR_260day_mvg_return,YUM_5day_mvg_return,YUM_20day_mvg_return,YUM_260day_mvg_return,GIS_5day_mvg_return,GIS_20day_mvg_return,GIS_260day_mvg_return,PPG_5day_mvg_return,PPG_20day_mvg_return,PPG_260day_mvg_return,SYY_5day_mvg_return,SYY_20day_mvg_return,SYY_260day_mvg_return,BIIB_5day_mvg_return,BIIB_20day_mvg_return,BIIB_260day_mvg_return,DIS_5day_mvg_return,DIS_20day_mvg_return,DIS_260day_mvg_return,JNJ_5day_mvg_return,JNJ_20day_mvg_return,JNJ_260day_mvg_return,NVDA_5day_mvg_return,NVDA_20day_mvg_return,NVDA_260day_mvg_return,GOOGL_5day_mvg_return,GOOGL_20day_mvg_return,GOOGL_260day_mvg_return,AMZN_5day_mvg_return,AMZN_20day_mvg_return,AMZN_260day_mvg_return,AAPL_5day_mvg_return,AAPL_20day_mvg_return,AAPL_260day_mvg_return,MSFT_5day_mvg_return,MSFT_20day_mvg_return,MSFT_260day_mvg_return
0,9/9/2010 0:00,81.65,15.46,22.82,17.91,16.95,56.92,25.49,25.14,28.62,20.49,57.01,29.68,43.42,2.34,238.33,140.38,8.07,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9/10/2010 0:00,82.02,15.72,23.03,17.73,17.08,54.87,25.88,25.52,29.22,20.69,57.68,29.75,43.54,2.31,238.31,142.44,8.08,18.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9/13/2010 0:00,83.05,15.69,23.27,18.32,17.33,53.79,26.47,25.14,29.58,20.83,57.81,29.85,43.78,2.44,241.38,145.07,8.19,19.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9/14/2010 0:00,83.04,15.59,23.26,18.23,17.17,54.31,26.46,25.02,29.46,20.67,57.91,29.66,43.97,2.42,240.46,145.75,8.22,19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9/15/2010 0:00,83.24,15.62,23.23,18.42,17.46,54.65,26.69,25.12,29.58,20.87,58.42,29.8,44.31,2.43,240.56,145.45,8.29,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019101394,,,-0.010243278,,,-0.017649591,,,-0.027687296,,,-0.029209622,,,0.041537054,,,-0.044960659,,,0.000796178,,,-0.032454361,,,-0.018207954,,,-0.02413557,,,-0.004026846,,,-0.020085759,,,-0.037037037,,,-0.009270037,,,-0.034857339,,,-0.026537998,,,-0.044117647,,
5,9/16/2010 0:00,83.21,15.57,23.24,18.35,17.55,54.5,26.63,25.21,29.82,20.93,57.67,29.76,44.49,2.43,240.77,148.13,8.48,19.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014301166,,,0.009633911,,,-0.009036145,,,-0.033787466,,,-0.026780627,,,0.006788991,,,-0.028163725,,,0.012296708,,,-0.020120724,,,-0.011466794,,,0.0001734,,,-0.000336022,,,-0.021353113,,,-0.049382716,,,-0.01021722,,,-0.038412205,,,-0.047169811,,,-0.058823529,,
6,9/17/2010 0:00,83.29,15.38,23.19,18.74,17.68,55.94,26.59,24.82,29.75,20.98,57.92,30.1,44.69,2.42,245.32,148.32,8.44,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002881498,,,0.020156047,,,0.003449763,,,-0.022411953,,,-0.01979638,,,-0.038434036,,,-0.004512975,,,0.012892828,,,-0.005714286,,,-0.007149666,,,-0.001899171,,,-0.008305648,,,-0.020362497,,,0.008264463,,,-0.016060655,,,-0.021912082,,,-0.029620853,,,-0.004545455,,
7,9/20/2010 0:00,84.65,15.73,23.78,19.38,16.84,59.99,27.08,24.82,30,21.28,57.8,30.4,45.07,2.46,254.39,151.3,8.69,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019019492,,,-0.008900191,,,-0.021867115,,,-0.059339525,,,0.0195962,,,-0.094682447,,,-0.022895126,,,0.008058018,,,-0.018,,,-0.028665414,,,0.001903114,,,-0.024342105,,,-0.024406479,,,-0.016260163,,,-0.054758442,,,-0.036682089,,,-0.054085155,,,-0.015531062,,
8,9/21/2010 0:00,84.39,15.69,23.99,19.07,16.58,58.93,26.99,24.47,29.81,21.38,58.23,30.05,44.96,2.59,256.99,150.73,8.7,19.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013627207,,,-0.00446144,,,-0.031679867,,,-0.03408495,,,0.053075995,,,-0.072628542,,,-0.011115228,,,0.026563139,,,-0.007715532,,,-0.023854069,,,0.003262923,,,-0.008319468,,,-0.014457295,,,-0.061776062,,,-0.063932449,,,-0.035029523,,,-0.047126437,,,-0.001013171,,
9,9/22/2010 0:00,83.94,15.56,23.96,18.62,16.27,57.51,27.01,25.13,29.76,21.41,54.86,29.61,44.98,2.62,258.26,151.83,8.82,19.32,83.248,,,15.601,,,23.377,,,18.477,,,17.091,,,56.141,,,26.529,,,25.039,,,29.56,,,20.953,,,57.531,,,29.866,,,44.321,,,2.446,,,245.477,,,146.94,,,8.398,,,19.536,,,-0.008696688,,,0.000642674,,,-0.030050083,,,-0.014500537,,,0.078672403,,,-0.052338724,,,-0.014068863,,,0.003183446,,,0.002016129,,,-0.02241943,,,0.051221291,,,0.005065856,,,-0.010893731,,,-0.072519084,,,-0.06772245,,,-0.02436936,,,-0.038548753,,,0.029503106,,
